NO. INTERVAL,INTERVAL RANGE,DATE,HEAD,COMMENT,TEST RESULT,CHANGES LINK
27,2/10/2020-25/10/2020,Oct 20 2020,9f684937c666609082612278aa1cab146d49b7c0,    feat(gui): rename classes and fields by popup menu in tree panel (PR #993),completed: 586 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/9f684937c666609082612278aa1cab146d49b7c0
27,2/10/2020-25/10/2020,Oct 17 2020,ff6665c71610dc81fbd32a0a9dd2e27d410f1a5b,    fix(gui): use correct charset when writing mapping file (PR #992),completed: 586 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/ff6665c71610dc81fbd32a0a9dd2e27d410f1a5b
28,28/09/2020-2/10/2020,Oct 2 2020,e2b42804d5c59af4d0c64b10d93066dcd69e621d,    fix: resolve several issues with package rename and class reload (#987),completed: 585 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/e2b42804d5c59af4d0c64b10d93066dcd69e621d
28,28/09/2020-2/10/2020,Oct 1 2020,0f6e942c5b676c9dbec2d41fbeeea045bce77326,    build: remove check stage in gitlab build,completed: 585 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/0f6e942c5b676c9dbec2d41fbeeea045bce77326
28,28/09/2020-2/10/2020,Oct 1 2020,c0a81978bfde052f3323225870a68df259c47b8d,    fix(gui): allow to rename packages (#987),completed: 585 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/c0a81978bfde052f3323225870a68df259c47b8d
28,28/09/2020-2/10/2020,Sep 28 2020,b76c8822102ac3703514ffaf23ec057167d4be1a,    fix(gui): fix rename dialog pack (#972),completed: 585 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/b76c8822102ac3703514ffaf23ec057167d4be1a
29,27/09/2020-28/09/2020,Sep 27 2020,9b1761f71f043e0a9b2030a9263bdc00a1971d2a,    fix: prevent zipbomb forged headers attacks (#980, PR #982),completed: 584 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/9b1761f71f043e0a9b2030a9263bdc00a1971d2a
30,24/09/2020-27/09/2020,Sep 27 2020,73ca2e0fa4bb225080ccc6acd8dac2b55a3fc134,    fix: move class unload to synchronized block (#977),completed: 584 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/73ca2e0fa4bb225080ccc6acd8dac2b55a3fc134
32,17/09/2020-23/09/2020,Sep 17 2020,dcca0133fb944b495b3cd9adaf76f365e3dbd267,    chore: update gradle and dependencies,completed: 581 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/dcca0133fb944b495b3cd9adaf76f365e3dbd267
32,17/09/2020-23/09/2020,Sep 17 2020,408201b69bda073d3c180c909500ea004b4fdd66,    fix: restore enum for java 15,completed: 581 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/408201b69bda073d3c180c909500ea004b4fdd66
32,17/09/2020-23/09/2020,Sep 17 2020,e024628d466b6a66a7ef92fecaaacfc373b54da4,    chore: fix directory search for smali tests,completed: 581 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/e024628d466b6a66a7ef92fecaaacfc373b54da4
36,7/09/2020-11/09/2020,Sep 11 2020,50cfa4c9716dc94535714331bacf7ca110abfba3,    chore: improve error reporting in tests,completed: 573 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/50cfa4c9716dc94535714331bacf7ca110abfba3
38,17/08/2020-23/08/2020,Aug 22 2020,605a67932f9dd05268fc90625504b92554bc9810,    chore: remove unused array allocation,completed: 571 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/605a67932f9dd05268fc90625504b92554bc9810
38,17/08/2020-23/08/2020,Aug 21 2020,1774dc74e33100a0843bdd739b95a37e9211d106,    feat(deobf): improve deobfuscated class names by including class properties and info about super class respectively implemented interfaces (PR #969),completed: 571 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/1774dc74e33100a0843bdd739b95a37e9211d106
39,10/08/2020-17/08/2020,Aug 17 2020,94a06d9b6ffab96077a5e3a286ec39d97b6f7b25,    feat(gui): on mouse hover highlight identifiers with enabled actions (like 'find usage' or 'rename'),completed: 569 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/94a06d9b6ffab96077a5e3a286ec39d97b6f7b25
39,10/08/2020-17/08/2020,Aug 16 2020,a4859427310d0da70b4d21ed7969e8943ea0f124,    docs: add jadx logo to readme,completed: 569 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/a4859427310d0da70b4d21ed7969e8943ea0f124
39,10/08/2020-17/08/2020,Aug 16 2020,2c1b3b248068ad13e624b1dc18c1bef96c659569,    Merge branch 'jpstotz-copyprefs' into master,completed: 569 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/2c1b3b248068ad13e624b1dc18c1bef96c659569
40,9/08/2020-10/08/2020,Aug 9 2020,13609a5c4448bd9d9136df77d95391f580114c9b,    fix: allow to inline variables around 'monitor-exit' in synchronized block,completed: 566 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/13609a5c4448bd9d9136df77d95391f580114c9b
41,6/08/2020-9/08/2020,Aug 9 2020,593a32a68929844a5039ab7e35d72929d332d74f,    refactor: use same instance for empty type vars annotation,completed: 565 skipped: 0 failures: 0 errors: 0,https://github.com/skylot/jadx/commit/593a32a68929844a5039ab7e35d72929d332d74f
