NO. INTERVAL,INTERVAL RANGE,DATE,HEAD,COMMENT,TEST RESULT,CHANGES LINK,TEST PATH
70,22/07/2019-10/08/2019,Jul 22 2019,474586a6e992a521e78abe65ff25b43c7f4d3588,    Prevent a StackOverflowException on 4.4 (#1332),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/474586a6e992a521e78abe65ff25b43c7f4d3588,lottie/src/test/java/com/airbnb/lottie
71,20/07/2019-22/07/2019,Jul 22 2019,474586a6e992a521e78abe65ff25b43c7f4d3588,    Prevent a StackOverflowException on 4.4 (#1332),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/474586a6e992a521e78abe65ff25b43c7f4d3588,lottie/src/test/java/com/airbnb/lottie
72,19/07/2019-20/07/2019,Jul 20 2019,ac09fd469bd5948c1d781d8e95a0ac32fb5074c4,    Update issue templates,completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/ac09fd469bd5948c1d781d8e95a0ac32fb5074c4,lottie/src/test/java/com/airbnb/lottie
72,19/07/2019-20/07/2019,Jul 19 2019,1661c2673bc4d9e632bc1599978f803ac457505f,    Create FUNDING.yml,completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/1661c2673bc4d9e632bc1599978f803ac457505f,lottie/src/test/java/com/airbnb/lottie
73,18/07/2019-19/07/2019,Jul 19 2019,292b5745e3553d908ebc015e46f2876390554485,    Update issue templates,completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/292b5745e3553d908ebc015e46f2876390554485,lottie/src/test/java/com/airbnb/lottie
73,18/07/2019-19/07/2019,Jul 19 2019,68aed6a46fc7f663553a6420e6910698ff586e68,    Add custom failure listener support to LottieAnimationView and log network failures (#1321),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/68aed6a46fc7f663553a6420e6910698ff586e68,lottie/src/test/java/com/airbnb/lottie
73,18/07/2019-19/07/2019,Jul 18 2019,40bc7483a48efa7b71167741419d2e2100c51b84,    Enable snapshot deployment (#1328),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/40bc7483a48efa7b71167741419d2e2100c51b84,lottie/src/test/java/com/airbnb/lottie
74,16/07/2019-18/07/2019,Jul 18 2019,40bc7483a48efa7b71167741419d2e2100c51b84,    Enable snapshot deployment (#1328),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/40bc7483a48efa7b71167741419d2e2100c51b84,lottie/src/test/java/com/airbnb/lottie
75,22/06/2019-16/07/2019,Jul 16 2019,3e7b460e249e423da8bcb3d16d38ba38c27d2d7d,    Fuzzy match content types (#1320),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/3e7b460e249e423da8bcb3d16d38ba38c27d2d7d,lottie/src/test/java/com/airbnb/lottie
76,19/06/2019-22/06/2019,Jun 22 2019,7e64a9d68a7e58b6ea490fa9f8c8526612b02ad1,    Replace LottieAnimiationView JsonReader API with just InputStream and hide visibility of the Lottie Moshi JSON parsing classes. (#1279),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/7e64a9d68a7e58b6ea490fa9f8c8526612b02ad1,lottie/src/test/java/com/airbnb/lottie
76,19/06/2019-22/06/2019,Jun 19 2019,99dea0e0e3bc9d0b0b4b1cbf8cfa08163964e816,    v3.0.7,completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/99dea0e0e3bc9d0b0b4b1cbf8cfa08163964e816,lottie/src/test/java/com/airbnb/lottie
77,13/06/2019-19/06/2019,Jun 19 2019,99dea0e0e3bc9d0b0b4b1cbf8cfa08163964e816,    v3.0.7,completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/99dea0e0e3bc9d0b0b4b1cbf8cfa08163964e816,lottie/src/test/java/com/airbnb/lottie
77,13/06/2019-19/06/2019,Jun 13 2019,47fc0dc23d9088bd3c9c0174a86e1a8edb3c0beb,    Moved espresso tests into LottieSample (#1264),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/47fc0dc23d9088bd3c9c0174a86e1a8edb3c0beb,lottie/src/test/java/com/airbnb/lottie
78,3/06/2019-13/06/2019,Jun 13 2019,47fc0dc23d9088bd3c9c0174a86e1a8edb3c0beb,    Moved espresso tests into LottieSample (#1264),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/47fc0dc23d9088bd3c9c0174a86e1a8edb3c0beb,lottie/src/test/java/com/airbnb/lottie
78,3/06/2019-13/06/2019,Jun 13 2019,f2d6e608637684b0a957370fe0edb4be7bf93652,    Fixed renderMode attr (#1263),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/f2d6e608637684b0a957370fe0edb4be7bf93652,lottie/src/test/java/com/airbnb/lottie
79,30/05/2019-3/06/2019,Jun 3 2019,35de50dd3bbe1b11aa6e983209c26ec0bd99d359,    v3.0.6,completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/35de50dd3bbe1b11aa6e983209c26ec0bd99d359,lottie/src/test/java/com/airbnb/lottie
79,30/05/2019-3/06/2019,May 30 2019,da11cc72295d6bbf70035667d9dd1871d248cde5,    v3.0.5,completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/da11cc72295d6bbf70035667d9dd1871d248cde5,lottie/src/test/java/com/airbnb/lottie
79,30/05/2019-3/06/2019,May 30 2019,77401c58972d6a60b6ee530b58459df6b84f0991,    v3.0.4,completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/77401c58972d6a60b6ee530b58459df6b84f0991,lottie/src/test/java/com/airbnb/lottie
79,30/05/2019-3/06/2019,May 30 2019,891e73fa1146196b4cde7c7873ca1a352fc40a58,    Fix copy paste error (#1245),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/891e73fa1146196b4cde7c7873ca1a352fc40a58,lottie/src/test/java/com/airbnb/lottie
80,25/05/2019-30/05/2019,May 30 2019,da11cc72295d6bbf70035667d9dd1871d248cde5,    v3.0.5,completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/da11cc72295d6bbf70035667d9dd1871d248cde5,lottie/src/test/java/com/airbnb/lottie
80,25/05/2019-30/05/2019,May 30 2019,77401c58972d6a60b6ee530b58459df6b84f0991,    v3.0.4,completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/77401c58972d6a60b6ee530b58459df6b84f0991,lottie/src/test/java/com/airbnb/lottie
80,25/05/2019-30/05/2019,May 30 2019,891e73fa1146196b4cde7c7873ca1a352fc40a58,    Fix copy paste error (#1245),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/891e73fa1146196b4cde7c7873ca1a352fc40a58,lottie/src/test/java/com/airbnb/lottie
81,20/05/2019-25/05/2019,May 25 2019,5a5ff800b05ff735df2d7341ea63fa44a527b927,    Prevent BuildConfig builds from ever being on release builds (#1232),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/5a5ff800b05ff735df2d7341ea63fa44a527b927,lottie/src/test/java/com/airbnb/lottie
81,20/05/2019-25/05/2019,May 20 2019,6bef284ac9b23c215364d2cd5221a29120c0e889,    v3.0.3,completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/6bef284ac9b23c215364d2cd5221a29120c0e889,lottie/src/test/java/com/airbnb/lottie
82,19/05/2019-21/05/2019,May 20 2019,9cdff7fb9cf33ae07d87a83ac01098d05f3f529d,    Updated CHANGELOG,completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/9cdff7fb9cf33ae07d87a83ac01098d05f3f529d,lottie/src/test/java/com/airbnb/lottie
82,19/05/2019-21/05/2019,May 21 2019,21d1573898da088efa81b1de91faa55108d5057f,    Fix: incorrect System.nano() usage leads to the animation to end prematurely (#1227),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/21d1573898da088efa81b1de91faa55108d5057f,lottie/src/test/java/com/airbnb/lottie
82,19/05/2019-21/05/2019,May 19 2019,39e2a3b21171178f6b44ca0194f18dd97f07b7a7,    Default null content type to application/json (#1223),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/39e2a3b21171178f6b44ca0194f18dd97f07b7a7,lottie/src/test/java/com/airbnb/lottie
82,19/05/2019-21/05/2019,May 19 2019,a143d345a22c49288febb7c999a32962696a3e37,    Close url connection at the right time (#1221),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/a143d345a22c49288febb7c999a32962696a3e37,lottie/src/test/java/com/airbnb/lottie
83,15/05/2019-19/05/2019,May 19 2019,7371eabe326ac70991cf237da423b03ee52caba8,    Resize bitmaps to the size specified in JSON (#1225),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/7371eabe326ac70991cf237da423b03ee52caba8,lottie/src/test/java/com/airbnb/lottie
83,15/05/2019-19/05/2019,May 19 2019,174ce16ec59b1ab11b074460c23b0286f7da08eb,    Set correct frame when animation ends and speed is < 0 (#1222),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/174ce16ec59b1ab11b074460c23b0286f7da08eb,lottie/src/test/java/com/airbnb/lottie
83,15/05/2019-19/05/2019,May 19 2019,9e8d64081e941f5fc29a31c0a9e1088bfa8a3197,    invalidateSelf after setAlpha,completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/9e8d64081e941f5fc29a31c0a9e1088bfa8a3197,lottie/src/test/java/com/airbnb/lottie
83,15/05/2019-19/05/2019,May 15 2019,bd04ebc835a52c174acf173b69b35ba6c7ed5ffc,    Set wasAnimatingWhenDetached to false at pause() (#1217),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/bd04ebc835a52c174acf173b69b35ba6c7ed5ffc,lottie/src/test/java/com/airbnb/lottie
84,8/05/2019-15/05/2019,May 15 2019,0c138f8fc2ea5ed5ae4d725cbaeab5131a933d36,    v3.0.2,completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/0c138f8fc2ea5ed5ae4d725cbaeab5131a933d36,lottie/src/test/java/com/airbnb/lottie
84,8/05/2019-15/05/2019,May 15 2019,c88485c1b655c49807f28e5136446d2b40856f3f,    Refer to the frameTimeNanos from Choreographer (#1215),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/c88485c1b655c49807f28e5136446d2b40856f3f,lottie/src/test/java/com/airbnb/lottie
85,30/04/2019-8/05/2019,May 8 2019,3004a3b9b6f6b9039ba2af68c640129f7b0bca2a,    Add a customizable logger and try/finally network connections (#1162),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/3004a3b9b6f6b9039ba2af68c640129f7b0bca2a,lottie/src/test/java/com/airbnb/lottie
86,25/04/2019-30/04/2019,Apr 30 2019,126dabdc9f586c87822f85fe1128cdad439d30fa,    Added WebP support to ZIP asset parsing (#1198),completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/126dabdc9f586c87822f85fe1128cdad439d30fa,lottie/src/test/java/com/airbnb/lottie
87,17/04/2019-25/04/2019,Apr 25 2019,46f88fe7d1260ded135af8a00f53190c38ff8624,    v3.0.1,completed: 260 skipped: 4 failures: 232 errors: 0,https://github.com/airbnb/lottie-android/commit/46f88fe7d1260ded135af8a00f53190c38ff8624,lottie/src/test/java/com/airbnb/lottie
